,APDTop1,APDTop2,APDBot1,APDBot2,Coincidence,APD_DAC1,APD_DAC2,T1,T2,T3,T4,T5,Laser_DAC,LCPR_cap_pf,LCPR_ref_i,LCPR_1,LCPR_2,LEPD_total,LEPD_dX,LEPD_dY,Index
188,0,0,0,0,0,2990,2990,352,356,352,352,360,311,4095,0,106,106,3,0,0,101
196,0,0,0,0,0,2990,2990,352,356,352,356,360,311,4095,0,106,111,3,0,0,102
197,0,0,0,0,0,2990,2990,356,356,352,356,364,311,4095,0,106,116,3,0,0,103
198,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,121,3,0,0,104
199,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,126,3,0,0,105
200,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,131,3,0,0,106
201,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,136,3,0,0,107
202,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,141,3,0,0,108
210,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,146,3,0,0,109
211,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,151,3,0,0,110
212,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,156,3,0,0,111
213,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,161,3,0,0,112
214,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,166,3,0,0,113
215,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,171,3,0,0,114
216,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,176,3,0,0,115
224,0,0,0,0,0,2990,2990,352,356,356,356,364,311,4095,0,106,181,3,0,0,116
225,0,0,0,0,0,2990,2990,352,356,356,356,364,311,4095,0,106,186,3,0,0,117
226,0,0,0,0,0,2990,2990,352,356,356,352,364,311,4095,0,106,191,3,0,0,118
227,0,0,0,0,0,2990,2990,352,356,356,356,364,311,4095,0,106,196,3,0,0,119
228,0,0,0,0,0,2990,2990,352,356,356,356,364,311,4095,0,106,201,3,0,0,120
229,0,0,0,0,0,2990,2990,352,356,356,356,364,311,4095,0,106,206,3,0,0,121
230,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,211,3,0,0,122
238,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,216,3,0,0,123
239,0,0,0,0,0,2990,2990,356,360,356,356,364,311,4095,0,106,221,3,0,0,124
240,0,0,0,0,0,2990,2990,356,360,356,356,364,311,4095,0,106,226,3,0,0,125
241,0,0,0,0,0,2990,2990,356,360,356,356,368,311,4095,0,106,231,3,0,0,126
242,0,0,0,0,0,2990,2990,356,360,356,356,368,311,4095,0,106,236,3,0,0,127
243,0,0,0,0,0,2990,2990,356,360,356,356,364,311,4095,0,106,241,3,0,0,128
244,0,0,0,0,0,2990,2990,356,360,356,356,364,311,4095,0,106,246,3,0,0,129
252,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,251,3,0,0,130
253,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,256,3,0,0,131
254,0,0,0,0,0,2990,2990,356,360,356,356,364,311,4095,0,106,261,3,0,0,132
255,0,0,0,0,0,2990,2990,352,356,356,356,364,311,4095,0,106,266,3,0,0,133
256,0,0,0,0,0,2990,2990,352,356,356,356,364,311,4095,0,106,271,3,0,0,134
257,0,0,0,0,0,2990,2990,352,356,352,352,364,311,4095,0,106,276,3,0,0,135
